Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1470646800.0 1365.0 NA 198 451 0 NA NA 333 573 0 NA NA 1072 3197 2107 NA NA 796 3041 2128 NA
1470646800.0 1366.0 NA 195 444 0 NA NA 331 552 0 NA NA 1048 3754 1902 NA NA 757 3500 1944 NA
1470646800.0 139901.0 NA 199 449 0 NA NA 323 567 0 NA NA 662 1851 1232 NA NA 482 1716 1244 NA
1470646800.0 139902.0 NA 207 458 0 NA NA 344 586 0 NA NA 752 2055 1185 NA NA 558 1863 1215 NA
1470646800.0 13992501.0 NA 306 697 0 NA NA 457 874 0 NA NA 6191 9627 1907 NA NA 3744 5728 1927 NA
1470646800.0 13992502.0 NA 330 649 0 NA NA 457 870 0 NA NA 5735 8918 1892 NA NA 3213 10559 1908 NA
1470646800.0 14.0 NA 97 382 0 NA NA 216 481 0 NA NA 2318 1932 464 NA NA 840 939 473 NA
1470646800.0 140.1 NA 170 400 0 NA NA 271 480 0 NA NA 354 600 167 NA NA 634 875 180 NA
1470646800.0 140.2 NA 165 394 0 NA NA 269 477 0 NA NA 343 585 158 NA NA 350 613 167 NA
1470646800.0 140.4 NA 166 404 0 NA NA 282 485 0 NA NA 358 586 154 NA NA 371 620 173 NA
1470646800.0 140.51 NA 43 358 0 NA NA 83 449 0 NA NA 581 1486 162 NA NA 358 807 171 NA
1470646800.0 140.52 NA 394 363 0 NA NA 508 449 0 NA NA 1989 1475 175 NA NA 946 816 197 NA
1470646800.0 144.6 NA 335 NA NA NA NA 438 NA NA NA NA 1905 NA NA NA NA 1051 NA NA NA
1470646800.0 145.0 NA 255 492 0 NA NA 441 713 0 NA NA 3859 3146 163 NA NA 2812 3215 170 NA
1470646800.0 15.0 NA 94 367 0 NA NA 225 455 0 NA NA 2007 1012 378 NA NA 708 664 390 NA
